timestamp,temperature,humidity,pressure,battery_level,signal_strength
2025-03-09T14:45:00,24.5,38.2,1011.2,95.3,-62
2025-03-09T14:45:15,24.6,38.0,1011.1,95.3,-62
2025-03-09T14:45:30,24.7,37.8,1011.0,95.2,-62
2025-03-09T14:45:45,24.8,37.6,1011.0,95.2,-63
2025-03-09T14:46:00,24.9,37.4,1010.9,95.1,-63
2025-03-09T14:46:15,25.0,37.2,1010.8,95.1,-63
2025-03-09T14:46:30,25.1,37.0,1010.7,95.0,-64
2025-03-09T14:46:45,25.2,36.8,1010.7,95.0,-64
2025-03-09T14:47:00,25.3,36.6,1010.6,94.9,-64
2025-03-09T14:47:15,25.4,36.4,1010.5,94.9,-65
2025-03-09T14:47:30,25.5,36.2,1010.4,94.8,-65
2025-03-09T14:47:45,25.6,36.0,1010.4,94.8,-65
2025-03-09T14:48:00,25.7,35.8,1010.3,94.7,-66
2025-03-09T14:48:15,25.8,35.6,1010.2,94.7,-66
2025-03-09T14:48:30,25.9,35.4,1010.1,94.6,-66
2025-03-09T14:48:45,26.0,35.2,1010.1,94.6,-67
2025-03-09T14:49:00,26.1,35.0,1010.0,94.5,-67
2025-03-09T14:49:15,26.2,34.8,1009.9,94.5,-67
2025-03-09T14:49:30,26.3,34.6,1009.8,94.4,-68
2025-03-09T14:49:45,26.4,34.4,1009.8,94.4,-68
2025-03-09T14:50:00,26.5,34.2,1009.7,94.3,-68
