timestamp,temperature,humidity,pressure,battery_level,signal_strength
2025-03-08T09:30:00,19.8,48.5,1014.6,99.1,-61
2025-03-08T09:30:15,19.9,48.7,1014.5,99.1,-61
2025-03-08T09:30:30,20.0,48.9,1014.5,99.0,-62
2025-03-08T09:30:45,20.1,49.1,1014.4,99.0,-62
2025-03-08T09:31:00,20.2,49.3,1014.3,99.0,-62
2025-03-08T09:31:15,20.3,49.5,1014.3,98.9,-63
2025-03-08T09:31:30,20.4,49.7,1014.2,98.9,-63
2025-03-08T09:31:45,20.5,49.9,1014.1,98.9,-63
2025-03-08T09:32:00,20.6,50.1,1014.1,98.8,-64
2025-03-08T09:32:15,20.7,50.3,1014.0,98.8,-64
2025-03-08T09:32:30,20.8,50.5,1013.9,98.8,-64
2025-03-08T09:32:45,20.9,50.7,1013.9,98.7,-65
2025-03-08T09:33:00,21.0,50.9,1013.8,98.7,-65
2025-03-08T09:33:15,21.1,51.1,1013.7,98.7,-65
2025-03-08T09:33:30,21.2,51.3,1013.7,98.6,-66
2025-03-08T09:33:45,21.3,51.5,1013.6,98.6,-66
2025-03-08T09:34:00,21.4,51.7,1013.5,98.6,-66
2025-03-08T09:34:15,21.5,51.9,1013.5,98.5,-67
2025-03-08T09:34:30,21.6,52.1,1013.4,98.5,-67
2025-03-08T09:34:45,21.7,52.3,1013.3,98.5,-67
2025-03-08T09:35:00,21.8,52.5,1013.3,98.4,-68
