timestamp,temperature,humidity,pressure,battery_level,signal_strength
2025-03-08T08:00:00,21.5,45.2,999.00,98.5,-65
2025-03-08T08:00:15,21.6,45.3,999.15,98.5,-66
2025-03-08T08:00:30,21.7,45.5,999.30,98.4,-65
2025-03-08T08:00:45,21.8,45.8,999.45,98.4,-67
2025-03-08T08:01:00,21.9,46.0,999.60,98.4,-67
2025-03-08T08:01:15,22.0,46.1,999.75,98.3,-66
2025-03-08T08:01:30,22.2,46.3,999.90,98.3,-66
2025-03-08T08:01:45,22.3,46.4,1000.05,98.3,-68
2025-03-08T08:02:00,22.4,46.6,1000.20,98.2,-68
2025-03-08T08:02:15,22.6,46.8,1000.35,98.2,-67
2025-03-08T08:02:30,22.7,47.0,1000.50,98.2,-67
2025-03-08T08:02:45,22.8,47.1,1000.65,98.1,-66
2025-03-08T08:03:00,22.9,47.3,1000.80,98.1,-65
2025-03-08T08:03:15,23.0,47.5,1000.95,98.1,-65
2025-03-08T08:03:30,23.1,47.6,1001.10,98.0,-64
2025-03-08T08:03:45,23.2,47.8,1001.25,98.0,-64
2025-03-08T08:04:00,23.3,48.0,1001.40,98.0,-65
2025-03-08T08:04:15,23.4,48.1,1001.55,97.9,-65
2025-03-08T08:04:30,23.5,48.3,1001.70,97.9,-66
2025-03-08T08:04:45,23.5,48.4,1001.85,97.9,-66
2025-03-08T08:05:00,23.6,48.5,1002.00,97.8,-67
