timestamp,temperature,humidity,pressure,battery_level,signal_strength
2025-03-09T16:00:00,25.3,52.1,1010.55,93.2,-63
2025-03-09T16:00:15,25.2,52.3,1010.49,93.1,-63
2025-03-09T16:00:30,25.2,52.4,1010.41,93.1,-64
2025-03-09T16:00:45,25.1,52.6,1010.37,93.0,-64
2025-03-09T16:01:00,25.0,52.7,1010.29,93.0,-65
2025-03-09T16:01:15,25.0,52.8,1010.21,92.9,-65
2025-03-09T16:01:30,24.9,52.9,1010.15,92.9,-66
2025-03-09T16:01:45,24.8,53.0,1010.08,92.8,-66
2025-03-09T16:02:00,24.7,53.1,1010.02,92.8,-66
2025-03-09T16:02:15,24.6,53.2,1009.97,92.7,-67
2025-03-09T16:02:30,24.5,53.3,1009.85,92.7,-67
2025-03-09T16:02:45,24.4,53.4,1009.71,92.6,-67
2025-03-09T16:03:00,24.3,53.5,1009.70,92.6,-68
2025-03-09T16:03:15,24.2,53.6,1009.65,92.5,-68
2025-03-09T16:03:30,24.1,53.7,1009.55,92.5,-68
2025-03-09T16:03:45,24.0,53.8,1009.43,92.4,-69
2025-03-09T16:04:00,23.9,53.9,1009.39,92.4,-69
2025-03-09T16:04:15,23.8,54.0,1009.31,92.3,-70
2025-03-09T16:04:30,23.7,54.1,1009.25,92.3,-70
2025-03-09T16:04:45,23.6,54.2,1009.10,92.2,-70
2025-03-09T16:05:00,23.5,54.3,1009.05,92.2,-71
